filename,mu,ke,d0,max_psi,final_psi,max_Ec,final_Ec,lipschitz,is_stable
run_mu0.15000_ke0.30_d0140.0000.csv,0.15,0.3,140.0,1.0,0.4734396112802052,0.005891893190551833,0.005891893190551833,0.674499287478747,True
run_mu0.15000_ke0.30_d0145.0000.csv,0.15,0.3,145.0,1.0,0.4734396112802052,0.005891893190551833,0.005891893190551833,0.674499287478747,True
run_mu0.15000_ke0.30_d0149.9992.csv,0.15,0.3,149.9992314,1.0,0.4734396112802052,0.005891893190551833,0.005891893190551833,0.674499287478747,True
run_mu0.15000_ke0.30_d0155.0000.csv,0.15,0.3,155.0,1.0,0.4734396112802052,0.005891893190551833,0.005891893190551833,0.674499287478747,True
run_mu0.15000_ke0.30_d0160.0000.csv,0.15,0.3,160.0,1.0,0.4734396112802052,0.005891893190551833,0.005891893190551833,0.674499287478747,True
run_mu0.15000_ke0.40_d0140.0000.csv,0.15,0.4,140.0,1.0,0.4738859299018917,0.005894112193456063,0.005894112193456063,0.6742480544127712,True
run_mu0.15000_ke0.40_d0145.0000.csv,0.15,0.4,145.0,1.0,0.4738859299018917,0.005894112193456063,0.005894112193456063,0.6742480544127712,True
run_mu0.15000_ke0.40_d0149.9992.csv,0.15,0.4,149.9992314,1.0,0.4738859299018917,0.005894112193456063,0.005894112193456063,0.6742480544127712,True
run_mu0.15000_ke0.40_d0155.0000.csv,0.15,0.4,155.0,1.0,0.4738859299018917,0.005894112193456063,0.005894112193456063,0.6742480544127712,True
run_mu0.15000_ke0.40_d0160.0000.csv,0.15,0.4,160.0,1.0,0.4738859299018917,0.005894112193456063,0.005894112193456063,0.6742480544127712,True
run_mu0.15000_ke0.50_d0140.0000.csv,0.15,0.5,140.0,1.0,0.4743322485235762,0.005896331196360303,0.005896331196360303,0.6739970104429914,True
run_mu0.15000_ke0.50_d0145.0000.csv,0.15,0.5,145.0,1.0,0.4743322485235762,0.005896331196360303,0.005896331196360303,0.6739970104429914,True
run_mu0.15000_ke0.50_d0149.9992.csv,0.15,0.5,149.9992314,1.0,0.4743322485235762,0.005896331196360303,0.005896331196360303,0.6739970104429914,True
run_mu0.15000_ke0.50_d0155.0000.csv,0.15,0.5,155.0,1.0,0.4743322485235762,0.005896331196360303,0.005896331196360303,0.6739970104429914,True
run_mu0.15000_ke0.50_d0160.0000.csv,0.15,0.5,160.0,1.0,0.4743322485235762,0.005896331196360303,0.005896331196360303,0.6739970104429914,True
run_mu0.15000_ke0.60_d0140.0000.csv,0.15,0.6,140.0,1.0,0.47477856714526223,0.005898550199264534,0.005898550199264534,0.6737461553559988,True
run_mu0.15000_ke0.60_d0145.0000.csv,0.15,0.6,145.0,1.0,0.47477856714526223,0.005898550199264534,0.005898550199264534,0.6737461553559988,True
run_mu0.15000_ke0.60_d0149.9992.csv,0.15,0.6,149.9992314,1.0,0.47477856714526223,0.005898550199264534,0.005898550199264534,0.6737461553559988,True
run_mu0.15000_ke0.60_d0155.0000.csv,0.15,0.6,155.0,1.0,0.47477856714526223,0.005898550199264534,0.005898550199264534,0.6737461553559988,True
run_mu0.15000_ke0.60_d0160.0000.csv,0.15,0.6,160.0,1.0,0.47477856714526223,0.005898550199264534,0.005898550199264534,0.6737461553559988,True
run_mu0.15000_ke0.70_d0140.0000.csv,0.15,0.7,140.0,1.0,0.4752248857669477,0.005900769202168777,0.005900769202168777,0.673495488938701,True
run_mu0.15000_ke0.70_d0145.0000.csv,0.15,0.7,145.0,1.0,0.4752248857669477,0.005900769202168777,0.005900769202168777,0.673495488938701,True
run_mu0.15000_ke0.70_d0149.9992.csv,0.15,0.7,149.9992314,1.0,0.4752248857669477,0.005900769202168777,0.005900769202168777,0.673495488938701,True
run_mu0.15000_ke0.70_d0155.0000.csv,0.15,0.7,155.0,1.0,0.4752248857669477,0.005900769202168777,0.005900769202168777,0.673495488938701,True
run_mu0.15000_ke0.70_d0160.0000.csv,0.15,0.7,160.0,1.0,0.4752248857669477,0.005900769202168777,0.005900769202168777,0.673495488938701,True
run_mu0.15000_ke0.80_d0140.0000.csv,0.15,0.8,140.0,1.0,0.4756712043886337,0.005902988205073007,0.005902988205073007,0.6732450109783318,True
run_mu0.15000_ke0.80_d0145.0000.csv,0.15,0.8,145.0,1.0,0.4756712043886337,0.005902988205073007,0.005902988205073007,0.6732450109783318,True
run_mu0.15000_ke0.80_d0149.9992.csv,0.15,0.8,149.9992314,1.0,0.4756712043886337,0.005902988205073007,0.005902988205073007,0.6732450109783318,True
run_mu0.15000_ke0.80_d0155.0000.csv,0.15,0.8,155.0,1.0,0.4756712043886337,0.005902988205073007,0.005902988205073007,0.6732450109783318,True
run_mu0.15000_ke0.80_d0160.0000.csv,0.15,0.8,160.0,1.0,0.4756712043886337,0.005902988205073007,0.005902988205073007,0.6732450109783318,True
run_mu0.15000_ke0.90_d0140.0000.csv,0.15,0.9,140.0,1.0,0.47611752301032,0.005905207207977243,0.005905207207977243,0.6729947212624385,True
run_mu0.15000_ke0.90_d0145.0000.csv,0.15,0.9,145.0,1.0,0.47611752301032,0.005905207207977243,0.005905207207977243,0.6729947212624385,True
run_mu0.15000_ke0.90_d0149.9992.csv,0.15,0.9,149.9992314,1.0,0.47611752301032,0.005905207207977243,0.005905207207977243,0.6729947212624385,True
run_mu0.15000_ke0.90_d0155.0000.csv,0.15,0.9,155.0,1.0,0.47611752301032,0.005905207207977243,0.005905207207977243,0.6729947212624385,True
run_mu0.15000_ke0.90_d0160.0000.csv,0.15,0.9,160.0,1.0,0.47611752301032,0.005905207207977243,0.005905207207977243,0.6729947212624385,True
run_mu0.15000_ke1.00_d0140.0000.csv,0.15,1.0,140.0,1.0,0.4765638416320048,0.005907426210881472,0.005907426210881472,0.6727446195788926,True
run_mu0.15000_ke1.00_d0145.0000.csv,0.15,1.0,145.0,1.0,0.4765638416320048,0.005907426210881472,0.005907426210881472,0.6727446195788926,True
