# MU=0.20000 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000153720000
# t,psi,gamma,Ec
2.22,2.2231216116,1.0019259980,-0.5502672113
2.23,2.2247222150,1.0061463294,-0.5575958642
2.24,2.2263010749,1.0103622101,-0.5649808168
2.25,2.2278588148,1.0145736385,-0.5724221523
2.26,2.2293960639,1.0187806131,-0.5799199542
2.27,2.2309134571,1.0229831330,-0.5874743063
2.28,2.2324116351,1.0271811970,-0.5950852922
2.29,2.2338912443,1.0313748045,-0.6027529961
2.30,2.2353529363,1.0355639549,-0.6104775022
2.31,2.2367973683,1.0397486479,-0.6182588954
2.32,2.2382252029,1.0439288833,-0.6260972607
2.33,2.2396371079,1.0481046612,-0.6339926836
2.34,2.2410337563,1.0522759819,-0.6419452504
2.35,2.2424158261,1.0564428458,-0.6499550477
2.36,2.2437840005,1.0606052536,-0.6580221628
2.37,2.2451389676,1.0647632061,-0.6661466837
2.38,2.2464814202,1.0689167044,-0.6743286992
2.39,2.2478120560,1.0730657498,-0.6825682988
2.40,2.2491315774,1.0772103437,-0.6908655730
2.41,2.2504406913,1.0813504876,-0.6992206130
2.42,2.2517401093,1.0854861835,-0.7076335111
2.43,2.2530305471,1.0896174333,-0.7161043608
2.44,2.2543127251,1.0937442392,-0.7246332562
2.45,2.2555873678,1.0978666036,-0.7332202930
2.46,2.2568552039,1.1019845291,-0.7418655679
2.47,2.2581169660,1.1060980184,-0.7505691789
2.48,2.2593733909,1.1102070744,-0.7593312252
2.49,2.2606252194,1.1143117002,-0.7681518074
2.50,2.2618731958,1.1184118992,-0.7770310277
2.51,2.2631180683,1.1225076748,-0.7859689894
2.52,2.2643605889,1.1265990307,-0.7949657977
2.53,2.2656015128,1.1306859706,-0.8040215592
2.54,2.2668415989,1.1347684987,-0.8131363821
2.55,2.2680816094,1.1388466191,-0.8223103764
2.56,2.2693223099,1.1429203361,-0.8315436539
2.57,2.2705644689,1.1469896542,-0.8408363279
2.58,2.2718088584,1.1510545782,-0.8501885139
2.59,2.2730562529,1.1551151130,-0.8596003292
2.60,2.2743074304,1.1591712635,-0.8690718929
2.61,2.2755631712,1.1632230350,-0.8786033265
2.62,2.2768242586,1.1672704329,-0.8881947532
2.63,2.2780914785,1.1713134627,-0.8978462986
2.64,2.2793656193,1.1753521300,-0.9075580902
2.65,2.2806474720,1.1793864409,-0.9173302581
2.66,2.2819378297,1.1834164012,-0.9271629343
2.67,2.2832374880,1.1874420173,-0.9370562536
2.68,2.2845472445,1.1914632953,-0.9470103528
2.69,2.2858678990,1.1954802419,-0.9570253714
2.70,2.2872002532,1.1994928637,-0.9671014513
2.71,2.2885451109,1.2035011675,-0.9772387370
2.72,2.2899032773,1.2075051603,-0.9874373755
2.73,2.2912755597,1.2115048492,-0.9976975166
2.74,2.2926627668,1.2155002414,-1.0080193129
2.75,2.2940657089,1.2194913444,-1.0184029195
2.76,2.2954851975,1.2234781657,-1.0288484945
2.77,2.2969220458,1.2274607130,-1.0393561989
2.78,2.2983770680,1.2314389942,-1.0499261965
2.79,2.2998510794,1.2354130172,-1.0605586541
2.80,2.3013448965,1.2393827901,-1.0712537416
2.81,2.3028593365,1.2433483212,-1.0820116320
2.82,2.3043952177,1.2473096189,-1.0928325012
2.83,2.3059533591,1.2512666916,-1.1037165286
2.84,2.3075345802,1.2552195480,-1.1146638964
2.85,2.3091397013,1.2591681969,-1.1256747904
2.86,2.3107695429,1.2631126472,-1.1367493996
2.87,2.3124249261,1.2670529078,-1.1478879165
2.88,2.3141066722,1.2709889878,-1.1590905367
2.89,2.3158156027,1.2749208965,-1.1703574595
2.90,2.3175525391,1.2788486433,-1.1816888877
2.91,2.3193183029,1.2827722375,-1.1930850275
2.92,2.3211137157,1.2866916887,-1.2045460887
2.93,2.3229395986,1.2906070066,-1.2160722850
2.94,2.3247967726,1.2945182010,-1.2276638336
2.95,2.3266860583,1.2984252816,-1.2393209552
2.96,2.3286082757,1.3023282585,-1.2510438747
2.97,2.3305642444,1.3062271416,-1.2628328205
2.98,2.3325547831,1.3101219411,-1.2746880249
2.99,2.3345807098,1.3140126671,-1.2866097243
3.00,2.3366428418,1.3178993299,-1.2985981588
3.01,2.3387419953,1.3217819399,-1.3106535725
3.02,2.3408789854,1.3256605075,-1.3227762138
3.03,2.3430546260,1.3295350432,-1.3349663347
3.04,2.3452697301,1.3334055574,-1.3472241916
3.05,2.3475251089,1.3372720609,-1.3595500451
3.06,2.3498215724,1.3411345642,-1.3719441598
3.07,2.3521599291,1.3449930781,-1.3844068045
3.08,2.3545409859,1.3488476134,-1.3969382523
3.09,2.3569655478,1.3526981807,-1.4095387808
3.10,2.3594344180,1.3565447909,-1.4222086715
3.11,2.3619483981,1.3603874550,-1.4349482105
3.12,2.3645082874,1.3642261837,-1.4477576885
3.13,2.3671148831,1.3680609880,-1.4606374002
3.14,2.3697689804,1.3718918789,-1.4735876450
3.15,2.3724713722,1.3757188672,-1.4866087267
3.16,2.3752228488,1.3795419639,-1.4997009538
3.17,2.3780241983,1.3833611800,-1.5128646393
3.18,2.3808762061,1.3871765264,-1.5261001005
3.19,2.3837796551,1.3909880141,-1.5394076598
3.20,2.3867353252,1.3947956540,-1.5527876438
3.21,2.3897439938,1.3985994570,-1.5662403840
