# MU=0.16905 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
2.63,2.3942543860,1.1760919944,-0.9497439880
2.64,2.3959738798,1.1801486711,-0.9600457964
2.65,2.3977004795,1.1842009919,-0.9704121569
2.66,2.3994349824,1.1882489620,-0.9808432115
2.67,2.4011781884,1.1922925867,-0.9913391047
2.68,2.4029308998,1.1963318716,-1.0018999832
2.69,2.4046939209,1.2003668222,-1.0125259963
2.70,2.4064680587,1.2043974442,-1.0232172958
2.71,2.4082541220,1.2084237436,-1.0339740358
2.72,2.4100529216,1.2124457263,-1.0447963733
2.73,2.4118652703,1.2164633984,-1.0556844678
2.74,2.4136919828,1.2204767660,-1.0666384816
2.75,2.4155338753,1.2244858356,-1.0776585795
2.76,2.4173917661,1.2284906135,-1.0887449295
2.77,2.4192664744,1.2324911063,-1.0998977022
2.78,2.4211588214,1.2364873205,-1.1111170711
2.79,2.4230696293,1.2404792631,-1.1224032129
2.80,2.4249997218,1.2444669407,-1.1337563071
2.81,2.4269499236,1.2484503604,-1.1451765364
2.82,2.4289210604,1.2524295292,-1.1566640865
2.83,2.4309139591,1.2564044543,-1.1682191464
2.84,2.4329294473,1.2603751429,-1.1798419082
2.85,2.4349683535,1.2643416022,-1.1915325674
2.86,2.4370315066,1.2683038399,-1.2032913227
2.87,2.4391197364,1.2722618633,-1.2151183762
2.88,2.4412338731,1.2762156800,-1.2270139336
2.89,2.4433747471,1.2801652978,-1.2389782038
2.90,2.4455431894,1.2841107243,-1.2510113994
2.91,2.4477400309,1.2880519675,-1.2631137365
2.92,2.4499661028,1.2919890352,-1.2752854347
2.93,2.4522222362,1.2959219353,-1.2875267175
2.94,2.4545092621,1.2998506761,-1.2998378118
2.95,2.4568280115,1.3037752655,-1.3122189486
2.96,2.4591793148,1.3076957117,-1.3246703625
2.97,2.4615640022,1.3116120230,-1.3371922918
2.98,2.4639829035,1.3155242077,-1.3497849789
2.99,2.4664368477,1.3194322741,-1.3624486701
3.00,2.4689266633,1.3233362306,-1.3751836156
3.01,2.4714531779,1.3272360857,-1.3879900697
3.02,2.4740172185,1.3311318479,-1.4008682905
3.03,2.4766196108,1.3350235256,-1.4138185406
3.04,2.4792611795,1.3389111276,-1.4268410864
3.05,2.4819427485,1.3427946623,-1.4399361986
3.06,2.4846651400,1.3466741385,-1.4531041522
3.07,2.4874291751,1.3505495647,-1.4663452264
3.08,2.4902356734,1.3544209498,-1.4796597045
3.09,2.4930854530,1.3582883024,-1.4930478744
3.10,2.4959793303,1.3621516313,-1.5065100283
3.11,2.4989181201,1.3660109451,-1.5200464628
3.12,2.5019026352,1.3698662528,-1.5336574788
3.13,2.5049336866,1.3737175630,-1.5473433820
3.14,2.5080120833,1.3775648845,-1.5611044823
3.15,2.5111386322,1.3814082262,-1.5749410943
3.16,2.5143141379,1.3852475967,-1.5888535372
3.17,2.5175394029,1.3890830048,-1.6028421347
3.18,2.5208152271,1.3929144594,-1.6169072153
3.19,2.5241424081,1.3967419691,-1.6310491121
3.20,2.5275217408,1.4005655427,-1.6452681629
3.21,2.5309540175,1.4043851888,-1.6595647104
3.22,2.5344400277,1.4082009162,-1.6739391018
3.23,2.5379805581,1.4120127335,-1.6883916893
3.24,2.5415763925,1.4158206493,-1.7029228300
