# MU=0.16905 KE=0.50000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
3.41,0.5639097402,0.0007239866,0.0053508379
3.42,0.5629600707,0.0007203667,0.0053548932
3.43,0.5620119885,0.0007167648,0.0053589215
3.44,0.5610654911,0.0007131810,0.0053629230
3.45,0.5601205758,0.0007096151,0.0053668977
3.46,0.5591772400,0.0007060670,0.0053708458
3.47,0.5582354812,0.0007025367,0.0053747676
3.48,0.5572952968,0.0006990240,0.0053786633
3.49,0.5563566842,0.0006955289,0.0053825329
3.50,0.5554196409,0.0006920512,0.0053863767
3.51,0.5544841643,0.0006885910,0.0053901948
3.52,0.5535502517,0.0006851480,0.0053939874
3.53,0.5526179008,0.0006817223,0.0053977548
3.54,0.5516871088,0.0006783137,0.0054014969
3.55,0.5507578733,0.0006749221,0.0054052141
3.56,0.5498301918,0.0006715475,0.0054089065
3.57,0.5489040616,0.0006681898,0.0054125742
3.58,0.5479794802,0.0006648488,0.0054162174
3.59,0.5470564451,0.0006615246,0.0054198364
3.60,0.5461349538,0.0006582169,0.0054234311
3.61,0.5452150038,0.0006549259,0.0054270019
3.62,0.5442965924,0.0006516512,0.0054305488
3.63,0.5433797173,0.0006483930,0.0054340720
3.64,0.5424643759,0.0006451510,0.0054375717
3.65,0.5415505656,0.0006419253,0.0054410481
3.66,0.5406382840,0.0006387156,0.0054445012
3.67,0.5397275285,0.0006355221,0.0054479313
3.68,0.5388182968,0.0006323444,0.0054513385
3.69,0.5379105862,0.0006291827,0.0054547229
3.70,0.5370043942,0.0006260368,0.0054580848
3.71,0.5360997185,0.0006229066,0.0054614242
3.72,0.5351965564,0.0006197921,0.0054647413
3.73,0.5342949056,0.0006166931,0.0054680362
3.74,0.5333947635,0.0006136097,0.0054713092
3.75,0.5324961277,0.0006105416,0.0054745603
3.76,0.5315989958,0.0006074889,0.0054777897
3.77,0.5307033651,0.0006044515,0.0054809976
3.78,0.5298092333,0.0006014292,0.0054841840
3.79,0.5289165980,0.0005984221,0.0054873491
3.80,0.5280254566,0.0005954299,0.0054904932
3.81,0.5271358067,0.0005924528,0.0054936162
3.82,0.5262476459,0.0005894905,0.0054967184
3.83,0.5253609717,0.0005865431,0.0054997998
3.84,0.5244757817,0.0005836104,0.0055028607
3.85,0.5235920734,0.0005806923,0.0055059012
3.86,0.5227098445,0.0005777889,0.0055089214
3.87,0.5218290924,0.0005748999,0.0055119214
3.88,0.5209498148,0.0005720254,0.0055149013
3.89,0.5200720093,0.0005691653,0.0055178614
3.90,0.5191956734,0.0005663195,0.0055208017
3.91,0.5183208047,0.0005634879,0.0055237224
3.92,0.5174474008,0.0005606704,0.0055266235
3.93,0.5165754593,0.0005578671,0.0055295054
3.94,0.5157049779,0.0005550777,0.0055323679
3.95,0.5148359540,0.0005523023,0.0055352114
3.96,0.5139683853,0.0005495408,0.0055380358
3.97,0.5131022695,0.0005467931,0.0055408414
3.98,0.5122376040,0.0005440592,0.0055436283
3.99,0.5113743867,0.0005413389,0.0055463966
4.00,0.5105126150,0.0005386322,0.0055491464
4.01,0.5096522865,0.0005359390,0.0055518778
4.02,0.5087933991,0.0005332593,0.0055545910
4.03,0.5079359501,0.0005305930,0.0055572861
4.04,0.5070799373,0.0005279401,0.0055599631
4.05,0.5062253584,0.0005253004,0.0055626223
4.06,0.5053722109,0.0005226739,0.0055652638
4.07,0.5045204926,0.0005200605,0.0055678876
4.08,0.5036702010,0.0005174602,0.0055704939
4.09,0.5028213338,0.0005148729,0.0055730828
4.10,0.5019738887,0.0005122985,0.0055756544
4.11,0.5011278634,0.0005097370,0.0055782088
4.12,0.5002832554,0.0005071883,0.0055807462
4.13,0.4994400625,0.0005046524,0.0055832666
4.14,0.4985982823,0.0005021291,0.0055857702
4.15,0.4977579126,0.0004996185,0.0055882571
4.16,0.4969189509,0.0004971204,0.0055907274
4.17,0.4960813950,0.0004946348,0.0055931812
4.18,0.4952452426,0.0004921616,0.0055956186
4.19,0.4944104913,0.0004897008,0.0055980397
4.20,0.4935771389,0.0004872523,0.0056004447
4.21,0.4927451830,0.0004848160,0.0056028336
4.22,0.4919146214,0.0004823920,0.0056052066
4.23,0.4910854517,0.0004799800,0.0056075637
4.24,0.4902576716,0.0004775801,0.0056099051
4.25,0.4894312789,0.0004751922,0.0056122308
4.26,0.4886062713,0.0004728162,0.0056145410
4.27,0.4877826465,0.0004704522,0.0056168358
4.28,0.4869604022,0.0004680999,0.0056191153
4.29,0.4861395361,0.0004657594,0.0056213795
4.30,0.4853200460,0.0004634306,0.0056236286
4.31,0.4845019296,0.0004611135,0.0056258627
4.32,0.4836851847,0.0004588079,0.0056280819
4.33,0.4828698089,0.0004565138,0.0056302863
4.34,0.4820558001,0.0004542313,0.0056324759
4.35,0.4812431559,0.0004519601,0.0056346510
4.36,0.4804318742,0.0004497003,0.0056368115
4.37,0.4796219526,0.0004474518,0.0056389575
4.38,0.4788133889,0.0004452146,0.0056410893
4.39,0.4780061810,0.0004429885,0.0056432068
4.40,0.4772003265,0.0004407735,0.0056453102
4.41,0.4763958232,0.0004385697,0.0056473995
4.42,0.4755926689,0.0004363768,0.0056494749
4.43,0.4747908614,0.0004341949,0.0056515364
4.44,0.4739903984,0.0004320240,0.0056535841
4.45,0.4731912777,0.0004298638,0.0056556182
4.46,0.4723934972,0.0004277145,0.0056576387
4.47,0.4715970546,0.0004255760,0.0056596457
