# MU=0.8 KE=0
# Core: D0=149.999 I3=6.49394 S=23.0983 F'(D0)=0.00061488
# t,psi,gamma,Ec
4.37,1.15539,1.42633,-1.07539
4.38,1.16252,1.42919,-1.08387
4.39,1.16972,1.43207,-1.09241
4.4,1.177,1.43496,-1.10102
4.41,1.18435,1.43785,-1.10968
4.42,1.19176,1.44076,-1.11841
4.43,1.19925,1.44367,-1.1272
4.44,1.20681,1.44659,-1.13605
4.45,1.21444,1.44953,-1.14497
4.46,1.22214,1.45247,-1.15394
4.47,1.22991,1.45542,-1.16299
4.48,1.23774,1.45838,-1.17209
4.49,1.24565,1.46135,-1.18126
4.5,1.25363,1.46433,-1.1905
4.51,1.26167,1.46731,-1.1998
4.52,1.26978,1.47031,-1.20917
4.53,1.27797,1.47332,-1.2186
4.54,1.28621,1.47633,-1.22811
4.55,1.29453,1.47935,-1.23768
4.56,1.30291,1.48238,-1.24731
4.57,1.31137,1.48542,-1.25702
4.58,1.31988,1.48847,-1.26679
4.59,1.32846,1.49152,-1.27664
4.6,1.33711,1.49459,-1.28655
4.61,1.34583,1.49766,-1.29653
4.62,1.35461,1.50074,-1.30659
4.63,1.36345,1.50382,-1.31671
4.64,1.37236,1.50692,-1.32691
4.65,1.38133,1.51002,-1.33717
4.66,1.39036,1.51313,-1.34752
4.67,1.39946,1.51625,-1.35793
4.68,1.40862,1.51938,-1.36842
4.69,1.41784,1.52251,-1.37898
4.7,1.42713,1.52565,-1.38961
4.71,1.43647,1.52879,-1.40032
4.72,1.44588,1.53195,-1.4111
4.73,1.45534,1.53511,-1.42196
4.74,1.46487,1.53827,-1.4329
4.75,1.47445,1.54145,-1.44391
4.76,1.4841,1.54463,-1.455
4.77,1.4938,1.54781,-1.46617
4.78,1.50356,1.55101,-1.47741
4.79,1.51338,1.5542,-1.48873
4.8,1.52325,1.55741,-1.50013
4.81,1.53318,1.56062,-1.51161
4.82,1.54317,1.56383,-1.52317
4.83,1.55321,1.56705,-1.53481
4.84,1.56331,1.57028,-1.54653
4.85,1.57346,1.57351,-1.55833
4.86,1.58366,1.57675,-1.57021
4.87,1.59392,1.57999,-1.58218
4.88,1.60423,1.58324,-1.59422
4.89,1.61459,1.58649,-1.60635
4.9,1.625,1.58975,-1.61856
4.91,1.63547,1.59301,-1.63086
4.92,1.64598,1.59627,-1.64323
4.93,1.65654,1.59954,-1.6557
4.94,1.66716,1.60282,-1.66824
4.95,1.67782,1.6061,-1.68088
4.96,1.68853,1.60938,-1.69359
4.97,1.69928,1.61267,-1.7064
4.98,1.71008,1.61595,-1.71929
4.99,1.72093,1.61925,-1.73227
5,1.73182,1.62254,-1.74533
