# MU=0.15000 KE=0.30000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000115290000
# t,psi,gamma,Ec
2.58,2.4591498102,1.1584408736,-0.7759856921
2.59,2.4611452343,1.1625288232,-0.7840047650
2.60,2.4631434856,1.1666123875,-0.7920663570
2.61,2.4651453490,1.1706915706,-0.8001704791
2.62,2.4671516127,1.1747663768,-0.8083171439
2.63,2.4691630677,1.1788368108,-0.8165063663
2.64,2.4711805078,1.1829028769,-0.8247381632
2.65,2.4732047297,1.1869645801,-0.8330125537
2.66,2.4752365331,1.1910219250,-0.8413295592
2.67,2.4772767199,1.1950749167,-0.8496892031
2.68,2.4793260948,1.1991235601,-0.8580915113
2.69,2.4813854649,1.2031678604,-0.8665365119
2.70,2.4834556395,1.2072078229,-0.8750242356
2.71,2.4855374304,1.2112434529,-0.8835547153
2.72,2.4876316514,1.2152747559,-0.8921279866
2.73,2.4897391183,1.2193017373,-0.9007440875
2.74,2.4918606490,1.2233244029,-0.9094030586
2.75,2.4939970632,1.2273427585,-0.9181049432
2.76,2.4961491824,1.2313568097,-0.9268497872
2.77,2.4983178298,1.2353665627,-0.9356376393
2.78,2.5005038302,1.2393720233,-0.9444685510
2.79,2.5027080098,1.2433731978,-0.9533425763
2.80,2.5049311961,1.2473700923,-0.9622597726
2.81,2.5071742183,1.2513627130,-0.9712201996
2.82,2.5094379063,1.2553510664,-0.9802239204
2.83,2.5117230914,1.2593351589,-0.9892710009
2.84,2.5140306059,1.2633149971,-0.9983615100
2.85,2.5163612829,1.2672905874,-1.0074955197
2.86,2.5187159563,1.2712619366,-1.0166731051
2.87,2.5210954608,1.2752290514,-1.0258943446
2.88,2.5235006318,1.2791919386,-1.0351593196
2.89,2.5259323050,1.2831506052,-1.0444681147
2.90,2.5283913166,1.2871050580,-1.0538208180
2.91,2.5308785033,1.2910553041,-1.0632175206
2.92,2.5333947017,1.2950013504,-1.0726583173
2.93,2.5359407489,1.2989432043,-1.0821433060
2.94,2.5385174818,1.3028808727,-1.0916725881
2.95,2.5411257373,1.3068143629,-1.1012462685
2.96,2.5437663521,1.3107436823,-1.1108644556
2.97,2.5464401627,1.3146688382,-1.1205272613
2.98,2.5491480053,1.3185898378,-1.1302348010
2.99,2.5518907155,1.3225066887,-1.1399871938
3.00,2.5546691284,1.3264193983,-1.1497845624
3.01,2.5574840786,1.3303279740,-1.1596270331
3.02,2.5603363999,1.3342324234,-1.1695147359
3.03,2.5632269251,1.3381327541,-1.1794478047
3.04,2.5661564862,1.3420289735,-1.1894263769
3.05,2.5691259141,1.3459210895,-1.1994505939
3.06,2.5721360388,1.3498091094,-1.2095206008
3.07,2.5751876888,1.3536930411,-1.2196365466
3.08,2.5782816914,1.3575728921,-1.2297985842
3.09,2.5814188725,1.3614486702,-1.2400068702
3.10,2.5846000565,1.3653203831,-1.2502615654
3.11,2.5878260660,1.3691880384,-1.2605628345
3.12,2.5910977222,1.3730516438,-1.2709108460
3.13,2.5944158444,1.3769112070,-1.2813057726
3.14,2.5977812498,1.3807667358,-1.2917477910
3.15,2.6011947539,1.3846182379,-1.3022370819
3.16,2.6046571700,1.3884657209,-1.3127738301
3.17,2.6081693092,1.3923091925,-1.3233582244
3.18,2.6117319804,1.3961486604,-1.3339904579
3.19,2.6153459900,1.3999841322,-1.3446707279
3.20,2.6190121421,1.4038156155,-1.3553992355
3.21,2.6227312382,1.4076431180,-1.3661761864
3.22,2.6265040771,1.4114666473,-1.3770017902
3.23,2.6303314548,1.4152862108,-1.3878762609
3.24,2.6342141648,1.4191018162,-1.3987998167
3.25,2.6381529972,1.4229134708,-1.4097726799
3.26,2.6421487394,1.4267211822,-1.4207950773
3.27,2.6462021756,1.4305249577,-1.4318672399
3.28,2.6503140869,1.4343248047,-1.4429894030
3.29,2.6544852509,1.4381207305,-1.4541618061
3.30,2.6587164420,1.4419127424,-1.4653846931
3.31,2.6630084311,1.4457008475,-1.4766583124
3.32,2.6673619855,1.4494850530,-1.4879829165
3.33,2.6717778687,1.4532653660,-1.4993587623
3.34,2.6762568408,1.4570417935,-1.5107861114
3.35,2.6807996577,1.4608143425,-1.5222652293
3.36,2.6854070717,1.4645830198,-1.5337963861
3.37,2.6900798309,1.4683478324,-1.5453798564
3.38,2.6948186793,1.4721087868,-1.5570159190
3.39,2.6996243567,1.4758658899,-1.5687048573
3.40,2.7044975988,1.4796191481,-1.5804469589
3.41,2.7094391368,1.4833685680,-1.5922425161
3.42,2.7144496975,1.4871141560,-1.6040918253
3.43,2.7195300030,1.4908559184,-1.6159951875
3.44,2.7246807711,1.4945938615,-1.6279529082
3.45,2.7299027147,1.4983279915,-1.6399652971
3.46,2.7351965419,1.5020583143,-1.6520326685
3.47,2.7405629560,1.5057848360,-1.6641553411
3.48,2.7460026552,1.5095075625,-1.6763336381
3.49,2.7515163330,1.5132264993,-1.6885678868
3.50,2.7571046774,1.5169416524,-1.7008584193
3.51,2.7627683713,1.5206530271,-1.7132055719
3.52,2.7685080926,1.5243606290,-1.7256096855
3.53,2.7743245135,1.5280644633,-1.7380711051
3.54,2.7802183008,1.5317645354,-1.7505901805
3.55,2.7861901159,1.5354608503,-1.7631672654
3.56,2.7922406145,1.5391534130,-1.7758027184
3.57,2.7983704468,1.5428422285,-1.7884969022
3.58,2.8045802570,1.5465273015,-1.8012501838
3.59,2.8108706835,1.5502086367,-1.8140629347
3.60,2.8172423590,1.5538862386,-1.8269355309
